PLUGIN_ID,NAME,SEGMENT_CALCD_VIEWS,PRODUCT_CALCD_VIEWS
892543384437155629,Scaaale,1327,52312
940769995012192636,Ownership Transfer Test,9,108
941535041591581299,Based CDN,6,269
962455453431179906,html-to-figma DEV-plugin,18,434
945566489344512599,pxCode,1,36
956876182817307584,Component Sheet,16,512
968765016617421513,Attention Insight,2191,91605
987008243581106237,Spark Lint,20,561
1009719724784523466,tinsley test,5,128
1008293193112660846,APP Design Spell Check,1,27
1009779581580394715,gy-test,8,141
1015690246265664801,Move Layers,1,38
739208439270091369,Blobs,123911,4073913
786075219184960694,Visual Studio Code Icons,9049,314043
803669834214399971,Phrase,6554,203225
813813054094909882,Artboard Tricks,221,7712
798588768596541799,Valor,1674,66866
817982008781589678,Set Layer Size,2155,84378
821396560238695046,Merge it,3326,114573
831310355440673960,Show + Tell - Postmates,4,544
939597261011175499,Default››export,1310,41576
844594961877318333,24Stream,917,43378
844921199150112500,Attributed Text Copy Helper,693,33875
849349942668123613,Content Curator,127,3789
856246737669471011,Direct Link,2085,65897
857372981274488789,Banners,1823,54686
865678251028628890,PW,36,501
837020553460182141,Indeed Theme Switcher,133,4061
854105994002849081,Goodnight Slices,699,26864
873138633522805660,LanguageFour,124,5005
880654288520519627,Titler,608,30091
880740985021442025,Dots on Vertices,3766,126439
881061798645640285,MockFlow SiteMap,8894,275065
981614015749554374,Fluent Emoji Tool [Dev],57,1619
898653267348396675,Markup,617,15902
891448180042913164,SVG to Image,2430,88630
906629103429387576,Autoflow CB beta,2,62
918033775317263171,ReDS Inspect,3,160
914089640200414153,Comment-Exporter,114,3022
912763956481263896,Ruri Ruri – Artwork Generator,11629,388084
907012000809761240,Strings - the UX writing tool,8902,273735
911634366028101421,TripActions Design Helper,10,238
914172156907005942,Create Skeleton,14,412
901555038022513648,Style Station,108,4818
953591974086622162,pxCode - Deisgn to Code,2,61
921207224854227439,Amplitude Event Planner,1322,59663
968465923536935510,A Selector,4498,122471
924686009846441964,Split to frames,3020,101186
946468670686359495,Data Templating - development,15,361
948219019962145212,Sales Layer Scaffolding,4,79
836508016102947880,Batch Create Component,4430,145692
972533077037860848,Zwitch,46,1478
943044916979986373,MSVM by mendesaltaren,13,526
963261925920020294,EFDev-Export,190,5219
941844727835885273,Resize from center,44,1430
946212679691400027,test_plugin,7,228
950134490363840524,flip,611,20582
956979226568321004,Mystique-Dev,8,130
935442698887243560,Page Maker 0.6 beta,9,182
965026881424023010,Twitch Emote Getter,4,138
953996692463462504,Variables,115,3413
974356779276968492,Find and Replace,17,344
972585157420748807,Converting Colors - Color Blender,56,1449
977215069145507249,InVision Connect (Alpha),21,552
981013719988049804,tds-icon-upload,15,350
983162917210557182,Startup Ipsum,591,21187
996437825746229043,Sky Content Kraken,86,1806
999764791802026792,Sergio Private Test 1,2,12
1003551541876301625,Yi Link - QR Code Name Card,29,695
1005216210298048696,Toggler (Beta),24,767
1009209611304577085,Import Roblox Studio Themes,98,3474
1009285688937985099,FigmaPI,2,33
1019168418490051979,Critique Assist,53,407
1016423882731978547,Advanced Contrast,918,16187
1015692262108940580,Select Layers,2,30
1022511254236835598,Too wide for mobile?,3,74
1017821016034653587,uWild-2.0,5,86
1017135840453013129,Ghost,1807,6435
1011858403292265137,Power Profiler,36,247
1021742684310785880,SVG .class export,374,4093
1029482872967551337,❖ New Crit Comment - β,29,302
1022744188040560638,Generate Placeholder Text,574,739
1035862889261091873,figma_skeleton,9,4
1000857171878658140,Dark Vader Beta 🖤💛,258,351
1034360689439964310,COD Utility,4,4
1039416127657215202,Mark the page,10,13
1040340750434492789,Text Volume,3,2
831612813506973914,POC-jetway-knowledge-graph,7,535
809456910930081565,Color Manager (Admin),290,8353
865687644009449883,Rotate Each,2703,84010
883042194699837283,JSON to Figma -- Vrbo Fork,8,287
893806009348766137,"Overlay (Figma components to React, Vue, HTML)",16210,566292
901275602012692311,Vector Field Generator,3897,140391
886242011062127766,Disable Auto Layout,762,26911
921838657547406144,Full,563,19047
944682274449805746,XEA Lint,7,395
936004788928158710,randPhone(),1,21
934512914792764003,Auto Layout Presets,4255,146430
949398715671878472,"CopyCat | HTML, react component code generator | Export color, icons, font, image",2829,94835
947376972204574960,Hidden Styles Remover,1112,36354
948560042068997671,ReDS Inspect,7,187
959508372663852754,Ghost UXWriter,17,199
961557044421027093,Sierpinski Sample,1,30
962300045110258239,Template Picker,29,644
965354174052461091,Radii,759,25622
978648116966426555,Duffel Reference,3,89
915387754289980963,Neo Color Contrast-OLD,18,349
972149794657913669,The Write Flavour,644,15502
969784581224828993,Threads Styler,7,116
974714625646028433,Teams Power Pack,129,3745
980141820770453153,HBO Max - Menu Text Helper,24,610
987672288957171008,Creation Platform Brander,20,725
985994820569981598,Are.na Mood Board,289,10374
991593123470386614,Indian Rupee,877,18936
979102535118479540,Contentful Plugin [Beta],3,265
995922087422639826,Indexer,988,21372
1000208017155888036,Close Path,1301,24002
999673852029464315,💜 NVL Badoo Translator,5,149
1001450306359514351,RingVariantsExportDev,1,27
1001444625792698603,marketgoo copies,239,8053
981027352463848333,DarkSide,22,821
1012107248856076135,Stage to Figma,1233,23411
1015270292991425406,Workduck Plugin,1,83
1023773703747635078,Discord Skeleton Generator,242,602
1022227362878524872,Marybot,13,267
